campaign_id,team,vertical,market,channel,campaign_name,start_date,end_date,spends
2197,B,Music,IN,Twitter,B_Music_IN_Twitter,1/4/2019,10/13/2019," $62,054 "
5577,C,Product,ID,Facebook,C_Product_ID_Facebook,1/16/2019,11/27/2019," $59,945 "
3221,A,Music,JP,Facebook,A_Music_JP_Facebook,1/20/2019,4/17/2019," $11,321 "
4339,D,Festive,ID,FB,D_Festive_ID_FB,1/28/2019,3/22/2019," $79,436 "
7508,D,Festive,ID,OTT,D_Festive_ID_OTT,1/28/2019,3/21/2019," $24,373 "
1138,C,Product,VN,Twitter,C_Product_VN_Twitter,1/29/2019,3/13/2019," $50,328 "
1396,A,Music,AU,YouTube,A_Music_AU_YouTube,2/11/2019,9/1/2019," $42,060 "
6381,A,Music,JP,Twitter,A_Music_JP_Twitter,2/11/2019,4/24/2019," $73,941 "
7226,A,Music,AU,Facebook,A_Music_AU_Facebook,2/18/2019,12/8/2019," $35,945 "
9601,A,Music,KR,Twitter,A_Music_KR_Twitter,3/1/2019,7/21/2019," $17,888 "
3967,D,Festive,ID,YT,D_Festive_ID_YT,3/7/2019,10/6/2019," $71,563 "
8661,C,Product,VN,OTT,C_Product_VN_OTT,3/15/2019,7/12/2019," $22,080 "
4755,A,Music,AU,Twitter,A_Music_AU_Twitter,4/11/2019,8/10/2019," $59,259 "
8296,D,Festive,HK,FB,D_Festive_HK_FB,4/15/2019,10/7/2019," $35,176 "
6407,B,Travel,IN,Youtube,B_Travel_IN_Youtube,4/16/2019,10/10/2019," $80,587 "
8143,B,Music,IN,Facebook,B_Music_IN_Facebook,4/24/2019,7/5/2019," $58,955 "
8382,A,Music,JP,YouTube,A_Music_JP_YouTube,5/3/2019,7/30/2019," $39,998 "
4860,B,Travel,IN,Facebook,B_Travel_IN_Facebook,5/21/2019,11/25/2019," $46,528 "
3271,B,Music,IN,YouTube,B_Music_IN_YouTube,5/24/2019,10/15/2019," $68,123 "
6242,C,Product,TH,OTT,C_Product_TH_OTT,5/24/2019,8/2/2019," $58,382 "
2232,A,Music,KR,Facebook,A_Music_KR_Facebook,6/2/2019,11/2/2019," $82,360 "
5962,C,Product,ID,YouTube,C_Product_ID_YouTube,7/2/2019,10/27/2019," $79,993 "
5512,D,Festive,ID,DV,D_Festive_ID_DV,7/3/2019,9/14/2019," $87,228 "
9350,D,Festive,NZ,FB,D_Festive_NZ_FB,7/12/2019,12/4/2019," $87,608 "
1942,A,Music,KR,YouTube,A_Music_KR_YouTube,7/19/2019,10/21/2019," $61,351 "
7192,C,Product,TH,Youtube,C_Product_TH_Youtube,8/5/2019,10/9/2019," $79,685 "
6097,D,Festive,NZ,YT,D_Festive_NZ_YT,8/23/2019,12/26/2019," $10,428 "
6266,C,Product,ID,DV,C_Product_ID_DV,9/16/2019,11/28/2019," $67,129 "
7450,D,Festive,HK,YT,D_Festive_HK_YT,9/17/2019,10/28/2019," $81,943 "
2323,C,Product,VN,Facebook,C_Product_VN_Facebook,9/21/2019,12/7/2019," $78,478 "
2372,B,Travel,IN,OTT,B_Travel_IN_OTT,9/25/2019,10/29/2019," $73,235 "
9256,B,Travel,IN,DV,B_Travel_IN_DV,11/2/2019,11/31/2019," $19,668 "
3805,C,Product,TH,DV,C_Product_TH_DV,12/11/2019,10/26/2019," $16,500 "
